date,season,year,weather_condition,temp,atemp,windspeed,humidity,casual,registered,cnt,nCasual,nRegistered,nCnt
2011-01-02,1,2011,2.0,0.36,0.3485,0.24624999999999997,0.77,460,1312,1772,0.0018013381369016985,0.0,0.0
2011-01-09,1,2011,1.0,0.2,0.19699999999999998,0.19399999999999998,0.475,668,8747,9415,0.019643163492880426,0.1740687846791375,0.14353051643192488
2011-01-16,1,2011,1.0,0.16,0.1818,0.19399999999999998,0.51,674,8369,9043,0.020157831531995195,0.16521901997050079,0.13654460093896714
2011-01-23,1,2011,1.0,0.2,0.19674615384615385,0.2239,0.51,611,8190,8904,0.014753817121290102,0.16102825837567017,0.13393427230046948
2011-01-30,1,2011,1.0,0.20528333333333332,0.2121,0.1642,0.65,683,7396,8187,0.020929833590667354,0.14243907007234333,0.12046948356807512
2011-02-06,1,2011,2.0,0.22,0.2273,0.14925,0.64,764,9516,10280,0.02787785211871676,0.19207267108374498,0.15977464788732396
2011-02-13,1,2011,1.0,0.2,0.2121,0.1642,0.49,1119,10088,11207,0.058329044433007377,0.20546437852644395,0.1771830985915493
2011-02-20,1,2011,1.0,0.36,0.3485,0.2836,0.38,2575,12124,14700,0.18322182192485847,0.25313136515814855,0.2427793427230047
2011-02-27,1,2011,1.0,0.28,0.2879,0.19399999999999998,0.56,1748,10405,12199,0.1122834105335392,0.2128860066022054,0.19581220657276996
2011-03-06,1,2011,1.5,0.31,0.303,0.2836,0.665,1540,10210,11751,0.09444158517756047,0.20832065179219442,0.18739906103286386
2011-03-13,1,2011,1.0,0.34,0.303,0.2239,0.53,2758,10322,13081,0.198919197117859,0.21094280429845713,0.2123755868544601
2011-03-20,1,2011,1.0,0.38,0.3939,0.2239,0.54,4751,13131,17882,0.3698747641104821,0.27670732563856437,0.30253521126760563
2011-03-27,2,2011,2.0,0.32,0.303,0.2239,0.64,2983,12192,15176,0.2182192485846629,0.2547233863226652,0.25171830985915494
2011-04-03,2,2011,1.0,0.3,0.303,0.2239,0.53,3742,11665,15407,0.28332475553268144,0.24238522229766113,0.256056338028169
2011-04-10,2,2011,2.0,0.38,0.3939,0.2239,0.72,4124,13556,17680,0.3160919540229885,0.2866574579167935,0.2987417840375587
2011-04-17,2,2011,1.0,0.46,0.4545,0.2537,0.73,4174,14306,18481,0.3203808543489449,0.30421651487837426,0.31378403755868545
2011-04-24,2,2011,1.0,0.5,0.4848,0.2239,0.65,5785,18891,24676,0.45856922285126095,0.4115608831035048,0.4301220657276995
2011-05-01,2,2011,1.0,0.56,0.5303,0.26865,0.72,6548,23113,29661,0.5240178418253559,0.5104066677592302,0.5237370892018779
2011-05-08,2,2011,1.0,0.52,0.5,0.2239,0.625,6226,23347,29573,0.4963973237261966,0.5158850935312435,0.5220845070422535
2011-05-15,2,2011,1.0,0.52,0.5,0.14925,0.8,5779,24499,30278,0.4580545548121462,0.5428558050242315,0.5353239436619718
2011-05-22,2,2011,1.0,0.56,0.5303,0.1642,0.825,7465,24428,31893,0.6026762738033968,0.5411935476318686,0.5656525821596244
2011-05-29,2,2011,1.0,0.66,0.6212,0.2239,0.73,8220,24426,32646,0.6674386687253389,0.541146723479971,0.5797934272300469
2011-06-05,2,2011,1.0,0.7,0.6364,0.1642,0.515,7923,24659,32582,0.6419626007891577,0.5466017371760354,0.5785915492957746
2011-06-12,2,2011,1.0,0.72,0.6818,0.1343,0.62,6686,25023,31709,0.5358552067249958,0.5551237328213893,0.5621971830985916
2011-06-19,2,2011,1.0,0.64,0.6212,0.19399999999999998,0.6,7213,26352,33565,0.5810602161605765,0.5862383817573105,0.5970516431924883
2011-06-26,3,2011,1.0,0.7,0.6515,0.17909999999999998,0.655,7551,26089,33640,0.6100531823640418,0.5800810057827828,0.5984600938967136
2011-07-03,3,2011,1.0,0.71,0.6515,0.1642,0.54,9193,26033,35226,0.7509006690684509,0.5787699295296513,0.628244131455399
2011-07-10,3,2011,1.0,0.74,0.6894,0.1343,0.66,10057,24129,34186,0.8250128667009778,0.5341933369231849,0.6087136150234742
2011-07-17,3,2011,1.0,0.72,0.6667,0.2239,0.56,8763,25770,34533,0.7140161262652256,0.5726125535551237,0.6152300469483568
2011-07-24,3,2011,1.0,0.8,0.7879,0.1642,0.63,5468,21925,27393,0.4313775947846972,0.4825931215320863,0.48114553990610326
2011-07-31,3,2011,1.0,0.76,0.7121,0.1642,0.54,6432,23667,30099,0.5140675930691371,0.5233769578348512,0.531962441314554
2011-08-07,3,2011,1.0,0.72,0.6818,0.19399999999999998,0.7,6638,23568,30206,0.5317378624120775,0.5210591623159225,0.5339718309859155
2011-08-14,3,2011,1.0,0.72,0.6667,0.1642,0.55,7342,24033,31375,0.5921255790015441,0.5319457776321026,0.555924882629108
2011-08-21,3,2011,1.0,0.7,0.6515,0.19399999999999998,0.69,6763,24016,30779,0.5424601132269686,0.5315477723409735,0.5447323943661971
2011-08-28,3,2011,1.0,0.68,0.6364,0.2537,0.6503375,6246,24058,29699,0.49811288385657915,0.532531079530822,0.5244507042253521
2011-09-04,3,2011,1.0,0.66,0.6212,0.1642,0.69,8306,25856,34162,0.6748155772859838,0.5746259920867184,0.6082629107981221
2011-09-11,3,2011,2.0,0.62,0.5606,0.1642,0.88,5511,18330,23842,0.4350660490650197,0.39842670849624234,0.4144600938967136
2011-09-18,3,2011,1.0,0.56,0.5303,0.1642,0.69,5996,25472,31468,0.476668382226797,0.5656357549223889,0.5576713615023474
2011-09-25,3,2011,2.0,0.6,0.5455,0.1045,0.88,5801,24354,30155,0.459941670955567,0.5394610540116592,0.5330140845070422
2011-10-02,4,2011,2.0,0.6,0.5455,0.19399999999999998,0.825,4220,23825,28045,0.3243266426488248,0.5270760658347575,0.49338967136150236
2011-10-09,4,2011,1.0,0.48,0.4697,0.1045,0.72,7595,25927,33522,0.6138274146508835,0.5762882494790813,0.596244131455399
